,numDots,subdomainLevel,pathLevel,urlLength,numDash,numDashHostname,atSymbol,tildeSymbol,numUnderscore,numPercent,numQueryComponents,numApersand,numHash,numNumericChars,noHttps,ipAddress,domainInSubdomains,domainInPaths,httpsInHostname,hostNameLength,pathLength,queryLength,doubleSlash,type
27,1.0,1.0,6.0,85.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,False,0.0,0.0,,17.0,61.0,0.0,1.0,0.0
28,2.0,2.0,4.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,False,0.0,0.0,,27.0,37.0,0.0,1.0,1.0
29,2.0,2.0,3.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,16.0,34.0,0.0,0.0,0.0
30,2.0,2.0,7.0,81.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,False,0.0,0.0,,18.0,81.0,0.0,0.0,0.0
31,2.0,1.0,4.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,False,0.0,0.0,,17.0,53.0,0.0,0.0,0.0
32,2.0,2.0,3.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,False,0.0,0.0,,17.0,38.0,0.0,0.0,0.0
33,1.0,1.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,13.0,33.0,0.0,0.0,0.0
34,3.0,2.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,9.0,1.0,False,0.0,0.0,,21.0,35.0,28.0,0.0,0.0
35,3.0,1.0,2.0,102.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,4.0,0.0,False,0.0,1.0,False,21.0,10.0,63.0,1.0,1.0
36,2.0,2.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,1.0,False,0.0,0.0,,16.0,21.0,26.0,0.0,0.0
37,1.0,1.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,14.0,29.0,0.0,0.0,0.0
38,3.0,2.0,4.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,False,0.0,0.0,False,14.0,27.0,18.0,1.0,1.0
39,3.0,2.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,11.0,26.0,0.0,1.0,1.0
40,2.0,2.0,3.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,False,0.0,0.0,,15.0,21.0,42.0,1.0,1.0
41,2.0,2.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,20.0,34.0,0.0,0.0,0.0
42,2.0,2.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,16.0,36.0,0.0,0.0,0.0
43,2.0,2.0,4.0,99.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,False,0.0,0.0,,25.0,99.0,0.0,0.0,0.0
